timestamp,price,future_2d_log_return,prediction_btc,prediction_btc_5
2023-05-30 00:00:00+00:00,277.52713404592373,-0.0275986200919899,0,1
2023-06-01 00:00:00+00:00,271.6786064367713,0.0010999450036663,0,1
2023-06-03 00:00:00+00:00,271.9776023719212,-0.0051997400173313,0,0
2023-06-05 00:00:00+00:00,270.5670599540812,0.0026998650089989,0,0
2023-06-07 00:00:00+00:00,271.29854149822125,-0.0223988800746585,0,1
2023-06-09 00:00:00+00:00,265.28930927750395,-0.0266986650889904,0,0
2023-06-11 00:00:00+00:00,258.30015456957443,0.0060996950203308,1,1
2023-06-13 00:00:00+00:00,259.8805217149947,-0.0376981151256528,0,1
2023-06-15 00:00:00+00:00,250.26588142197053,0.0469976501566495,1,0
2023-06-17 00:00:00+00:00,262.3085620553321,0.0062996850209977,1,0
2023-06-19 00:00:00+00:00,263.96623931467605,0.0876956152923019,1,0
2023-06-21 00:00:00+00:00,288.1602730172199,0.0382980851276527,1,0
2023-06-23 00:00:00+00:00,299.410312118198,0.0202989850676594,0,1
2023-06-25 00:00:00+00:00,305.5501429154487,-0.0089995500299967,0,1
2023-06-27 00:00:00+00:00,302.81266562562047,-0.0046997650156649,1,0
2023-06-29 00:00:00+00:00,301.3928562519946,0.0085995700286635,1,0
2023-07-01 00:00:00+00:00,303.9958816333099,0.0090995450303299,1,0
2023-07-03 00:00:00+00:00,306.7747297998549,0.0046997650156651,1,0
2023-07-05 00:00:00+00:00,308.219892244572,-0.0244987750816578,0,0
2023-07-07 00:00:00+00:00,300.7606269379168,0.007099645023664,1,0
2023-07-09 00:00:00+00:00,302.90351850999093,0.0089995500299968,1,0
2023-07-11 00:00:00+00:00,305.6418171251332,-0.0075996200253305,1,0
2023-07-13 00:00:00+00:00,303.327859188394,0.0006999650023329,1,0
2023-07-15 00:00:00+00:00,303.54025239929376,-0.0015999200053328,0,0
2023-07-17 00:00:00+00:00,303.05500056262696,-0.0105994700353293,0,0
2023-07-19 00:00:00+00:00,299.8597421034756,-0.0044997750149985,0,1
2023-07-21 00:00:00+00:00,298.51347195594406,-0.000699965002333,0,1
2023-07-23 00:00:00+00:00,298.3045960842782,-0.0257987100859906,0,0
2023-07-25 00:00:00+00:00,290.70714588388677,0.0110994450369961,1,1
2023-07-27 00:00:00+00:00,293.95180753213725,-0.0023998800079991,0,0
2023-07-29 00:00:00+00:00,293.2472042857237,0.0028998550096656,0,0
2023-07-31 00:00:00+00:00,294.0988128340237,0.0158992050529941,0,1
2023-08-02 00:00:00+00:00,298.81211979479025,-0.0242987850809913,1,0
2023-08-04 00:00:00+00:00,291.6388521011121,-0.0069996500233307,0,1
2023-08-06 00:00:00+00:00,289.60461000023406,0.0050997450169981,1,0
2023-08-08 00:00:00+00:00,291.08529200827263,0.0167991600559938,1,0
2023-08-10 00:00:00+00:00,296.0165852389237,-0.0055997200186645,0,0
2023-08-12 00:00:00+00:00,294.36360766585494,-0.0077996100259973,0,1
2023-08-14 00:00:00+00:00,292.0766167327939,-0.0015999200053328,0,0
2023-08-16 00:00:00+00:00,291.6096911319989,-0.0897955102993009,0,0
2023-08-18 00:00:00+00:00,266.5656950190549,-0.020198990067326,1,0
2023-08-20 00:00:00+00:00,261.2353521940324,-0.0005999700019997,1,0
2023-08-22 00:00:00+00:00,261.07866582751404,0.0121993900406624,1,1
2023-08-24 00:00:00+00:00,264.28317307765724,-0.0132993350443285,0,1
2023-08-26 00:00:00+00:00,260.7916515323809,-0.0018999050063327,1,0
2023-08-28 00:00:00+00:00,260.2966425519451,0.0566971651889794,1,0
2023-08-30 00:00:00+00:00,275.4811151592949,-0.0565971701886463,0,1
2023-09-01 00:00:00+00:00,260.3226722162003,-0.007099645023664,1,0
2023-09-03 00:00:00+00:00,258.481018929847,-0.0033998300113323,1,1
2023-09-05 00:00:00+00:00,257.60371958369956,0.0008999550029996,0,0
2023-09-07 00:00:00+00:00,257.8356556903059,0.0040997950136651,1,0
2023-09-09 00:00:00+00:00,258.8948988821538,-0.0068996550229976,0,0
2023-09-11 00:00:00+00:00,257.1147616211332,0.0095995200319966,1,0
2023-09-13 00:00:00+00:00,259.59482458795276,0.0205989700686594,1,0
2023-09-15 00:00:00+00:00,264.99766605239665,-0.0015999200053328,1,0
2023-09-17 00:00:00+00:00,264.57402996740325,0.0096995150323299,1,0
2023-09-19 00:00:00+00:00,267.1527557255585,0.0102994850343294,1,1
2023-09-21 00:00:00+00:00,269.9185100083715,-0.0157992100526609,0,1
2023-09-23 00:00:00+00:00,265.68752191593774,-0.0152992350509943,0,0
2023-09-25 00:00:00+00:00,261.6536423863048,0.0024998750083322,1,1
2023-09-27 00:00:00+00:00,262.3085620553321,0.0299985000999893,1,0
2023-09-29 00:00:00+00:00,270.29664164650467,-0.0004999750016664,0,0
2023-10-01 00:00:00+00:00,270.1615338607192,0.0195990200653262,1,0
2023-10-03 00:00:00+00:00,275.50866327081087,0.0054997250183313,0,1
2023-10-05 00:00:00+00:00,277.02805945982544,0.0069996500233308,1,0
2023-10-07 00:00:00+00:00,278.97396129363005,0.0024998750083325,0,1
2023-10-09 00:00:00+00:00,279.6722337607411,-0.0194990250649928,1,1
2023-10-11 00:00:00+00:00,274.27172133873984,-0.0233988300779915,0,1
2023-10-13 00:00:00+00:00,267.92858433416177,0.0037998100126653,0,0
2023-10-15 00:00:00+00:00,268.9485987548039,0.0535973201786474,1,0
2023-10-17 00:00:00+00:00,283.75681860303814,-0.0051997400173314,0,1
2023-10-19 00:00:00+00:00,282.28518628662556,0.0461976901539833,1,0
