timestamp,price,true_1d_log_return,prediction_btc,prediction_btc_5
2023-06-03 00:00:00+00:00,,,,1
2023-06-04 00:00:00+00:00,,,,0
2023-06-05 00:00:00+00:00,,,,0
2023-06-06 00:00:00+00:00,,,,1
2023-06-07 00:00:00+00:00,,,,0
2023-06-08 00:00:00+00:00,,,,1
2023-06-09 00:00:00+00:00,,,,0
2023-06-10 00:00:00+00:00,,,,0
2023-06-11 00:00:00+00:00,,,,0
2023-06-12 00:00:00+00:00,,,,0
2023-06-13 00:00:00+00:00,,,,0
2023-06-14 00:00:00+00:00,,,,0
2023-06-15 00:00:00+00:00,,,,1
2023-06-16 00:00:00+00:00,,,,1
2023-06-17 00:00:00+00:00,,,,1
2023-06-18 00:00:00+00:00,,,,0
2023-06-19 00:00:00+00:00,,,,1
2023-06-20 00:00:00+00:00,,,,1
2023-06-21 00:00:00+00:00,,,,1
2023-06-22 00:00:00+00:00,,,,0
2023-06-23 00:00:00+00:00,,,,1
2023-06-24 00:00:00+00:00,,,,0
2023-06-25 00:00:00+00:00,,,,1
2023-06-26 00:00:00+00:00,,,,0
2023-06-27 00:00:00+00:00,,,,1
2023-06-28 00:00:00+00:00,,,,0
2023-06-29 00:00:00+00:00,,,,1
2023-06-30 00:00:00+00:00,,,,1
2023-07-01 00:00:00+00:00,,,,0
2023-07-02 00:00:00+00:00,,,,1
2023-07-03 00:00:00+00:00,,,,1
2023-07-04 00:00:00+00:00,,,,0
2023-07-05 00:00:00+00:00,,,,0
2023-07-06 00:00:00+00:00,,,,0
2023-07-07 00:00:00+00:00,,,,1
2023-07-08 00:00:00+00:00,,,,1
2023-07-09 00:00:00+00:00,,,,0
2023-07-10 00:00:00+00:00,,,,1
2023-07-11 00:00:00+00:00,,,,1
2023-07-12 00:00:00+00:00,,,,0
2023-07-13 00:00:00+00:00,,,,1
2023-07-14 00:00:00+00:00,,,,0
2023-07-15 00:00:00+00:00,,,,0
2023-07-16 00:00:00+00:00,,,,0
2023-07-17 00:00:00+00:00,,,,0
2023-07-18 00:00:00+00:00,,,,0
2023-07-19 00:00:00+00:00,,,,0
2023-07-20 00:00:00+00:00,,,,1
2023-07-21 00:00:00+00:00,,,,1
2023-07-22 00:00:00+00:00,,,,0
2023-07-23 00:00:00+00:00,,,,1
2023-07-24 00:00:00+00:00,,,,0
2023-07-25 00:00:00+00:00,,,,1
2023-07-26 00:00:00+00:00,,,,1
2023-07-27 00:00:00+00:00,,,,0
2023-07-28 00:00:00+00:00,,,,1
2023-07-29 00:00:00+00:00,,,,1
2023-07-30 00:00:00+00:00,,,,0
2023-07-31 00:00:00+00:00,,,,0
2023-08-01 00:00:00+00:00,,,,1
2023-08-02 00:00:00+00:00,,,,0
2023-08-03 00:00:00+00:00,,,,0
2023-08-04 00:00:00+00:00,,,,0
2023-08-05 00:00:00+00:00,,,,1
2023-08-06 00:00:00+00:00,,,,1
2023-08-07 00:00:00+00:00,,,,0
2023-08-08 00:00:00+00:00,,,,1
2023-08-09 00:00:00+00:00,,,,0
2023-08-10 00:00:00+00:00,,,,0
2023-08-11 00:00:00+00:00,,,,0
2023-08-12 00:00:00+00:00,,,,1
2023-08-13 00:00:00+00:00,,,,0
2023-08-14 00:00:00+00:00,,,,1
2023-08-15 00:00:00+00:00,,,,0
2023-08-16 00:00:00+00:00,,,,0
2023-08-17 00:00:00+00:00,,,,0
2023-08-18 00:00:00+00:00,,,,0
2023-08-19 00:00:00+00:00,,,,1
2023-08-20 00:00:00+00:00,,,,1
2023-08-21 00:00:00+00:00,,,,0
2023-08-22 00:00:00+00:00,,,,0
2023-08-23 00:00:00+00:00,,,,1
2023-08-24 00:00:00+00:00,,,,0
2023-08-25 00:00:00+00:00,,,,0
2023-08-26 00:00:00+00:00,,,,0
2023-08-27 00:00:00+00:00,,,,1
2023-08-28 00:00:00+00:00,,,,1
2023-08-29 00:00:00+00:00,,,,1
2023-08-30 00:00:00+00:00,,,,0
2023-08-31 00:00:00+00:00,,,,0
2023-09-01 00:00:00+00:00,,,,0
2023-09-02 00:00:00+00:00,,,,1
2023-09-03 00:00:00+00:00,,,,1
2023-09-04 00:00:00+00:00,,,,0
2023-09-05 00:00:00+00:00,,,,1
2023-09-06 00:00:00+00:00,,,,0
2023-09-07 00:00:00+00:00,,,,1
2023-09-08 00:00:00+00:00,,,,0
2023-09-09 00:00:00+00:00,,,,0
2023-09-10 00:00:00+00:00,,,,0
